slug,hashId,title,chatDate,imageSlug,imageAlt,imageCaption,workDate,pubDate,category,cluster,featured,notes
the-day-ai-agents-learned-to-coordinate-themselves-and-we-learned-to-let-them,02d04196ad8e,The day AI agents learned to coordinate themselves (and we learned to let them),8/12/2025,robot-trainer.webp,"A robot in a coaching role, guiding other agents through a coordinated training session.",,2025-08-15,2025-08-22,building,infrastructure-sprint,,
the-zenos-paradox-of-debugging,03c685be122a,The Zeno's Paradox of Debugging: A Weekend with Piper Morgan,,robot-archer.webp,"A robot taking aim with a bow, each arrow closing half the remaining distance to the target.",,2025-07-06,2025-07-31,building,the-debugging-marathon,,
three-days-to-production-when-steady-momentum-beats-racing-ahead,04799048f5ea,Three Days to Production: When Steady Momentum Beats Racing Ahead,,robot-forest.webp,"A robot navigating a dense forest, choosing a deliberate path rather than charging ahead.",,2025-10-04,2025-10-10,building,reflection-evolution,,
the-0-bootstrap-stack,078e056a87e4,The $0 Bootstrap Stack: Building Enterprise Infrastructure for Free (With Upgrade Paths),,robot-bootstrap.webp,"A robot assembling infrastructure from salvaged parts, building something substantial from nothing.",,2025-06-01,2025-07-11,building,foundation-building,,
saturday-reflection-why-ethics-cant-be-an-afterthought,07e55d3cff93,Saturday Reflection: Why Ethics Can't Be an Afterthought,7/31/2025,robot-landslide.webp,"A robot standing before an unstable slope, confronting forces that cannot be outrun or patched later.",,2025-08-02,2025-08-13,building,methodology-refinement,,
following-your-own-patterns,0822585cb51a,Following Your Own Patterns,7/20/2025,robot-stars.webp,"A robot navigating by starlight, using self-established patterns rather than borrowed maps.",,2025-06-27,2025-07-29,building,first-production-tests,,
when-your-ai-writes-500-lines,084611e312ea,When Your AI Writes 500 Lines of Boilerplate (And Why That's Actually Useful),,robot-blueprints.webp,"A robot surrounded by detailed blueprints, generating structural scaffolding at scale.",,2025-05-31,2025-08-03,building,first-production-tests,,
when-80-overhead-forces-a-tool,09c852964c70,When 80% Overhead Forces a Tool Change,,robot-overhead.webp,"A robot buckling under the weight of overhead, signaling the moment a tool change becomes unavoidable.",,2025-07-06,2025-09-06,insight,orchestration-verification,,
the-three-ai-orchestra-lessons-from-coordinating-multiple-ai-agents,0aeb570e3298,The three-AI orchestra: lessons from coordinating multiple AI agents,7/16/2025,robot-relay.webp,"Robots passing a baton in sequence, each agent handing off cleanly to the next in the pipeline.",,2025-07-19,2025-09-21,insight,strategic-pause,,
716-to-718,0b19d8a13665,The Cascade Effect: How Testing the UI Led to Architectural Discoveries,7/16/2025,robot-kitsugi.webp,"A robot mending broken pottery with gold seams, finding structural insights in the act of repair.",,2025-06-23,2025-07-19,building,foundation-building,,
